date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:07	339545/339545	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Apr%202017%2002:51:36%20GMT	https://porndeals.com/media/django-summernote/2017-04-15/09a5ab00-8807-4141-a13c-2483abaf922a.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-15/09a5ab00-8807-4141-a13c-2483abaf922a.jpg	(from https://porndeals.com/blog/80/)
21:59:07	47397/47397	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Apr%202017%2002:52:27%20GMT	https://porndeals.com/media/django-summernote/2017-04-15/c804d814-91bd-435c-b985-2a3c6b613ee9.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-15/c804d814-91bd-435c-b985-2a3c6b613ee9.jpg	(from https://porndeals.com/blog/80/)
21:59:07	417768/417768	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Apr%202017%2002:57:27%20GMT	https://porndeals.com/media/django-summernote/2017-04-15/59a7e349-c3b5-4133-a0a3-ba3fc33f178f.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-15/59a7e349-c3b5-4133-a0a3-ba3fc33f178f.jpg	(from https://porndeals.com/blog/80/)
21:59:07	99118/99118	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Apr%202017%2002:57:38%20GMT	https://porndeals.com/media/django-summernote/2017-04-15/35dddc4f-6524-4916-9346-03891f19a6c2.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-15/35dddc4f-6524-4916-9346-03891f19a6c2.jpg	(from https://porndeals.com/blog/80/)
21:59:07	71615/71615	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Apr%202017%2002:57:59%20GMT	https://porndeals.com/media/django-summernote/2017-04-15/da973405-f20e-4352-8ac7-770fbef91e6a.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-15/da973405-f20e-4352-8ac7-770fbef91e6a.jpg	(from https://porndeals.com/blog/80/)
21:59:08	1770/1770	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Jun%202017%2010:28:53%20GMT	https://porndeals.com/media/posts/cover/devils-film-porn-deal.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/devils-film-porn-deal.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/80/)
21:59:08	1523/1523	---M--	200	added ('OK')	image/jpeg	etag:%22a6992-5f3-513e8a6ac89b8%22	https://porndeals.com/media/posts/cover/fakehub-discount.JPG.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/fakehub-discount.JPG.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/80/)
21:59:08	1752/1752	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202016%2021:19:39%20GMT	https://porndeals.com/media/posts/cover/audrey-bitoni-has-a-4th-of-july-fuck-pool-party-15.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/audrey-bitoni-has-a-4th-of-july-fuck-pool-party-15.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/80/)
21:59:08	163517/163517	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:07%20GMT	https://porndeals.com/blog/2/	H:/PornDeals/PornDeals/porndeals.com/blog/2/index.html	(from https://porndeals.com/blog/80/)
21:59:08	1854/1854	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Jun%202015%2021:02:33%20GMT	https://porndeals.com/media/posts/cover/flag-day-porn-discounts.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/flag-day-porn-discounts.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/80/)
